pod,method,ic,ir,turnover,decay_5,decay_10,decay_21,alpha_path
core_systematic,equal,0.006918286067607038,0.08715031810026838,0.01035501212758606,0.005875674800080422,0.005447599613502702,0.004193085817531942,../../data/alpha/alpha_core_systematic_equal.parquet
core_systematic,ic_weight,0.009968107609062879,0.08734083118339264,0.01621055354849703,0.00881078957002732,0.008736204240813995,0.007289788905267154,../../data/alpha/alpha_core_systematic_ic_weight.parquet
core_systematic,mlr,0.00634607332876927,0.06233338454798919,0.021423327530924713,0.006673508973737932,0.005738717282497251,0.005253643882541493,../../data/alpha/alpha_core_systematic_mlr.parquet
core_systematic,bayesian,0.009608938887189713,0.09968705754747799,0.01746793217342884,0.00873334048778839,0.0080934544706663,0.00664945285870772,../../data/alpha/alpha_core_systematic_bayesian.parquet
core_systematic,gmv,0.007632183668214804,0.08260905262003128,0.012865862705043588,0.00666721842036166,0.0062164169544750725,0.005284029313445446,../../data/alpha/alpha_core_systematic_gmv.parquet
core_systematic,mvo,0.009578729302794568,0.08585475138601076,0.015645526094453282,0.008422647114018168,0.008030722041778205,0.0069189032890425465,../../data/alpha/alpha_core_systematic_mvo.parquet
event_info,equal,0.00954027338409947,0.13609507237088633,0.05606747422946231,0.00715636260211537,0.005787774013878619,0.004399543235797518,../../data/alpha/alpha_event_info_equal.parquet
event_info,ic_weight,0.011659376245315498,0.14966685112386646,0.05709309191299626,0.007431248564984794,0.007885610361188311,0.00514306158300878,../../data/alpha/alpha_event_info_ic_weight.parquet
event_info,mlr,0.00652822543083482,0.0830806254584364,0.060619307350931254,0.004553882227446943,0.005246198132241287,0.002644180964835274,../../data/alpha/alpha_event_info_mlr.parquet
event_info,bayesian,0.009625773160716184,0.1299083021616395,0.06040645181325547,0.006925343168054725,0.006599434746712723,0.004590594138119419,../../data/alpha/alpha_event_info_bayesian.parquet
event_info,gmv,0.010111736730492928,0.14232143506384745,0.05637685303532464,0.0074759235901745895,0.006215239307182779,0.004667725257210118,../../data/alpha/alpha_event_info_gmv.parquet
event_info,mvo,0.012424917314186152,0.1716804110313478,0.0473241547830884,0.008577068546231149,0.008056987250472596,0.005835950910899157,../../data/alpha/alpha_event_info_mvo.parquet
growth_cyclical,equal,0.01080082809537639,0.08289655839454876,0.014042658152405288,0.010018653085053418,0.009866722662754342,0.009515552935914277,../../data/alpha/alpha_growth_cyclical_equal.parquet
growth_cyclical,ic_weight,0.010236549345947185,0.08197634600379189,0.019515696953065032,0.00921501165363242,0.009255020948034107,0.007921690296632948,../../data/alpha/alpha_growth_cyclical_ic_weight.parquet
growth_cyclical,mlr,0.004614466635348829,0.03911184824971279,0.026616269907236933,0.005035414882901312,0.0044867886439479004,0.0040997003048193585,../../data/alpha/alpha_growth_cyclical_mlr.parquet
growth_cyclical,bayesian,0.009815395435822011,0.08096506009051578,0.020221003514064657,0.009807333513861854,0.009245866856100815,0.007994784157086904,../../data/alpha/alpha_growth_cyclical_bayesian.parquet
growth_cyclical,gmv,0.0108392760464913,0.07902688901530877,0.016001348128640274,0.010030142798356201,0.009799481436613628,0.009563353144582456,../../data/alpha/alpha_growth_cyclical_gmv.parquet
growth_cyclical,mvo,0.010518564028897106,0.0807221955523336,0.018040983950525263,0.009546918823468215,0.009389742460749825,0.008523671900529179,../../data/alpha/alpha_growth_cyclical_mvo.parquet
global_ml,xgb,-0.0017329446588593665,-0.032956934923946,4.744161008437884e-05,0.004054240322670207,-0.0004402693121124426,0.007006539676480234,../../data/alpha/alpha_global_ml_xgb.parquet
global_ml,rf,0.006129882667722314,0.06831528302206188,0.11396386107104696,0.007645378463468386,0.007534407465712688,0.004998499483813721,../../data/alpha/alpha_global_ml_rf.parquet
global_ml,gbm,0.0065956305468686405,0.07319124358130952,0.09040878705300748,0.008173660147683915,0.007274376923441025,0.005488348900508003,../../data/alpha/alpha_global_ml_gbm.parquet
global_ml,mlp,5.0024525942012436e-05,0.0007279888322974907,0.3124161149030587,0.0018498807583901757,-0.0013757853010033922,0.0018970663915842045,../../data/alpha/alpha_global_ml_mlp.parquet
